PSC,NAZOKRESU
36235,Karlovy Vary
54232,Trutnov
67904,Blansko
28601,Kutná Hora
37371,České Budějovice
79001,Jeseník
37833,Jindřichův Hradec
36452,Karlovy Vary
25765,Benešov
34201,Klatovy
38901,Strakonice
28401,Kutná Hora
46345,Liberec
59257,Žďár nad Sázavou
56301,Ústí nad Orlicí
73543,Karviná
51722,Rychnov nad Kněžnou
39816,Písek
46331,Liberec
79351,Bruntál
46843,Jablonec nad Nisou
74255,Nový Jičín
38301,Prachatice
35002,Cheb
39133,Tábor
66491,Brno-venkov
79804,Prostějov
46821,Jablonec nad Nisou
34004,Klatovy
79397,Bruntál
25901,Benešov
33901,Klatovy
46373,Liberec
36471,Karlovy Vary
79331,Bruntál
46342,Jablonec nad Nisou
35709,Sokolov
75101,Přerov
37821,Jindřichův Hradec
46844,Jablonec nad Nisou
58601,Jihlava
39470,Pelhřimov
71100,Ostrava-město
69633,Hodonín
39501,Pelhřimov
36251,Karlovy Vary
58827,Jihlava
79351,Olomouc
46401,Liberec
40714,Děčín
35601,Sokolov
38501,Prachatice
50782,Jičín
25789,Benešov
47301,Česká Lípa
54372,Trutnov
79383,Bruntál
40002,Ústí nad Labem
35201,Cheb
25601,Benešov
39155,Tábor
54101,Trutnov
54701,Náchod
75643,Vsetín
34012,Plzeň-jih
67544,Třebíč
38411,Prachatice
78501,Olomouc
35301,Cheb
25101,Praha-východ
25753,Benešov
50351,Hradec Králové
58001,Havlíčkův Brod
34525,Domažlice
68703,Uherské Hradiště
25167,Benešov
25168,Benešov
66401,Brno-venkov
66484,Brno-venkov
34101,Klatovy
33101,Plzeň-sever
40327,Ústí nad Labem
67961,Blansko
34401,Domažlice
50723,Jičín
51801,Rychnov nad Kněžnou
67555,Třebíč
58291,Havlíčkův Brod
67532,Třebíč
50601,Jičín
68001,Blansko
39301,Pelhřimov
27371,Kladno
29401,Mladá Boleslav
79861,Prostějov
59401,Žďár nad Sázavou
33165,Plzeň-sever
39131,Tábor
56802,Svitavy
68754,Uherské Hradiště
38001,Jindřichův Hradec
67161,Znojmo
53002,Pardubice
50401,Hradec Králové
28163,Kolín
25786,Benešov
76701,Kroměříž
58301,Havlíčkův Brod
78963,Šumperk
74254,Nový Jičín
51761,Rychnov nad Kněžnou
71700,Ostrava-město
73934,Ostrava-město
79399,Bruntál
73901,Frýdek-Místek
50801,Jičín
25085,Praha-východ
28123,Kolín
58851,Jihlava
50722,Jičín
54234,Trutnov
54237,Trutnov
67505,Třebíč
38773,Strakonice
37341,České Budějovice
69201,Břeclav
26751,Beroun
33032,Plzeň-sever
27054,Rakovník
50732,Jičín
40502,Děčín
41186,Litoměřice
29404,Mladá Boleslav
19011,Hlavní město Praha
39165,Tábor
39175,Tábor
37501,České Budějovice
43526,Most
43001,Chomutov
36464,Karlovy Vary
28143,Kolín
79821,Prostějov
27033,Rakovník
37842,Jindřichův Hradec
78801,Šumperk
67971,Blansko
46812,Jablonec nad Nisou
28504,Kutná Hora
54351,Trutnov
37401,České Budějovice
37335,České Budějovice
25703,Benešov
44001,Louny
66451,Brno-venkov
46001,Liberec
43401,Most
41702,Teplice
41701,Teplice
34021,Klatovy
67139,Znojmo
53854,Chrudim
74723,Opava
51401,Semily
38451,Prachatice
38241,Český Krumlov
51101,Semily
58401,Havlíčkův Brod
51601,Rychnov nad Kněžnou
34526,Domažlice
56905,Svitavy
29421,Mladá Boleslav
56943,Svitavy
27034,Rakovník
25724,Benešov
38743,Strakonice
37881,Jindřichův Hradec
26727,Beroun
27363,Kladno
39143,Tábor
67923,Brno-venkov
53401,Pardubice
50346,Hradec Králové
25756,Benešov
25744,Benešov
77900,Olomouc
78316,Olomouc
26301,Příbram
28506,Benešov
27353,Kladno
75364,Přerov
76821,Zlín
70030,Ostrava-město
55205,Náchod
55212,Náchod
28002,Kolín
54931,Náchod
28923,Nymburk
57001,Svitavy
28506,Kutná Hora
50303,Hradec Králové
59242,Žďár nad Sázavou
58263,Havlíčkův Brod
29471,Mladá Boleslav
51237,Semily
38422,Prachatice
55001,Náchod
67953,Blansko
38473,Prachatice
53501,Pardubice
34901,Tachov
46348,Liberec
38282,Český Krumlov
40722,Děčín
51206,Semily
67506,Třebíč
10300,Hlavní město Praha
78391,Olomouc
78901,Šumperk
74741,Opava
75002,Přerov
36461,Cheb
39137,Tábor
58833,Jihlava
79065,Jeseník
26223,Příbram
34142,Klatovy
34802,Tachov
54204,Trutnov
79057,Jeseník
39843,Písek
74101,Nový Jičín
36221,Karlovy Vary
26601,Beroun
28908,Nymburk
46822,Jablonec nad Nisou
38281,Český Krumlov
47201,Česká Lípa
43986,Louny
26724,Beroun
56501,Ústí nad Orlicí
53845,Chrudim
51251,Semily
29301,Mladá Boleslav
29425,Mladá Boleslav
38801,Strakonice
43801,Louny
78325,Olomouc
34012,Klatovy
58901,Jihlava
25722,Benešov
34806,Tachov
33824,Rokycany
39901,Tábor
36401,Karlovy Vary
25768,Benešov
33544,Plzeň-jih
34815,Tachov
59501,Žďár nad Sázavou
33501,Plzeň-jih
54954,Náchod
54964,Náchod
26242,Příbram
78973,Šumperk
34953,Tachov
25751,Benešov
34952,Tachov
66902,Znojmo
50771,Jičín
29429,Mladá Boleslav
75354,Přerov
33041,Plzeň-sever
46343,Liberec
73915,Frýdek-Místek
74728,Opava
29501,Mladá Boleslav
78321,Olomouc
33808,Rokycany
57101,Svitavy
54472,Trutnov
56169,Ústí nad Orlicí
56162,Ústí nad Orlicí
76841,Kroměříž
76861,Kroměříž
79368,Bruntál
44101,Louny
28572,Kutná Hora
54452,Trutnov
53003,Pardubice
53012,Pardubice
34701,Tachov
53316,Pardubice
27374,Kladno
41801,Teplice
41002,Litoměřice
41501,Teplice
25726,Benešov
33141,Plzeň-sever
74301,Nový Jičín
79841,Prostějov
68712,Uherské Hradiště
78322,Olomouc
58841,Jihlava
53803,Chrudim
41145,Litoměřice
46362,Liberec
79070,Jeseník
79326,Bruntál
41131,Litoměřice
33401,Klatovy
53843,Chrudim
67557,Třebíč
79812,Prostějov
76341,Zlín
51301,Semily
51263,Semily
33023,Plzeň-sever
67526,Třebíč
53851,Chrudim
67107,Znojmo
67110,Znojmo
58822,Jihlava
59455,Brno-venkov
27401,Kladno
26401,Příbram
67154,Znojmo
67801,Blansko
53862,Chrudim
51243,Semily
34022,Klatovy
78375,Olomouc
59203,Žďár nad Sázavou
38279,Český Krumlov
33025,Plzeň-sever
67551,Třebíč
69671,Hodonín
43984,Louny
53901,Chrudim
37852,Jindřichův Hradec
33038,Plzeň-sever
54901,Náchod
59251,Žďár nad Sázavou
66408,Brno-venkov
39901,Písek
41115,Litoměřice
27328,Kladno
76805,Kroměříž
34034,Klatovy
34545,Domažlice
47104,Česká Lípa
59442,Žďár nad Sázavou
67155,Znojmo
38226,Český Krumlov
38451,Český Krumlov
43201,Chomutov
33601,Plzeň-jih
43988,Louny
66456,Brno-venkov
36236,Karlovy Vary
78961,Šumperk
73601,Karviná
28931,Nymburk
54201,Trutnov
59255,Žďár nad Sázavou
79061,Jeseník
